page_name,party,start,stop,spend_estimate,impressions_estimate,platforms,text,link
Reform UK,Reform UK,2026-07-22,still running,50,9500,"facebook, instagram",Do not forget fourteen years of false promises and botched policy. The Tories broke Britain.,https://www.facebook.com/ads/library/?id=914087614344818
Nigel Farage,Reform UK,2026-07-22,still running,50,50,"facebook, instagram","Join me at Reform Party Conference 2026! 🔥

This is your chance to hear from me and senior party figures, meet fellow members and supporters from across the country, and be part of shaping Britain's future.

I'd love to see you there. Get your tickets now.",https://www.facebook.com/ads/library/?id=1579988370189006
Reform UK,Reform UK,2026-07-22,2026-07-22,50,1500,"facebook, instagram",Do not forget fourteen years of false promises and botched policy. The Tories broke Britain.,https://www.facebook.com/ads/library/?id=2583618405421319
Reform UK,Reform UK,2026-07-22,still running,50,9500,"facebook, instagram","🚨 Jordan Bardella will be speaking at our conference in Birmingham this September.

You won’t want to miss this. 👇

reformpartyconference.co.uk",https://www.facebook.com/ads/library/?id=1730196234844020
Reform UK,Reform UK,2026-07-22,2026-07-22,50,1500,"facebook, instagram",Do not forget fourteen years of false promises and botched policy. The Tories broke Britain.,https://www.facebook.com/ads/library/?id=1526553482541475
Nigel Farage,Reform UK,2026-07-22,still running,50,550,"facebook, instagram","The choice in this by-election on 13th August couldn't be clearer. It's me or the establishment.

Make your pick. The choice in this by-election on 13th August couldn't be clearer. It's me or the establishment.

Make your pick.",https://www.facebook.com/ads/library/?id=1605723154811465
Rupert Lowe,Restore Britain,2026-07-22,still running,50,37500,"facebook, instagram","The people of Greater Manchester will reject this foul establishment attack on Restore Britain's mayoral candidate, Marlon Scott West.",https://www.facebook.com/ads/library/?id=2219588302227427
Reform UK,Reform UK,2026-07-21,2026-07-22,50,50,"facebook, instagram","If you support our call for a general election, sign our petition here.",https://www.facebook.com/ads/library/?id=2285884938847155
Reform UK,Reform UK,2026-07-21,2026-07-22,150,17500,"facebook, instagram","If you support our call for a general election, sign our petition here.",https://www.facebook.com/ads/library/?id=1410569420962529
Reform UK,Reform UK,2026-07-21,2026-07-22,50,17500,"facebook, instagram",Andy Burnham won't act to fix Britain. He has no mandate and we need a general election now.,https://www.facebook.com/ads/library/?id=1496304272247222
Reform UK,Reform UK,2026-07-21,2026-07-22,50,17500,"facebook, instagram",Andy Burnham has become PM with almost no scrutiny or mandate from the British people. We need a general election now.,https://www.facebook.com/ads/library/?id=1032140456067355
Reform UK,Reform UK,2026-07-21,2026-07-22,50,17500,"facebook, instagram",Andy Burnham has previously backed yet more tax rises. He has no mandate and we need a general election now.,https://www.facebook.com/ads/library/?id=3022111127994730
The Labour Party,Labour,2026-07-21,2026-07-22,50,12500,"facebook, instagram","Andy Burnham’s first pledge as Prime Minister is to end rough sleeping in this country.

Back Andy’s plan to build a country where everyone has the security of a roof over their head and a chance to get back on their feet. Andy Burnham’s first pledge as Prime Minister is to end rough sleeping in this country.

Back Andy’s plan to build a country where everyone has the security of a roof over their head and a chance to get back on their feet.",https://www.facebook.com/ads/library/?id=1568722174892574
The Labour Party,Labour,2026-07-21,2026-07-22,50,2500,"facebook, instagram","Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you. Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you. Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you.",https://www.facebook.com/ads/library/?id=2489362538204940
The Labour Party,Labour,2026-07-21,still running,950,112500,"facebook, instagram","Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you. Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you. Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you.",https://www.facebook.com/ads/library/?id=1595081212238143
The Labour Party,Labour,2026-07-21,2026-07-22,50,550,"facebook, instagram","Andy Burnham’s first pledge as Prime Minister is to end rough sleeping in this country.

Back Andy’s plan to build a country where everyone has the security of a roof over their head and a chance to get back on their feet. Andy Burnham’s first pledge as Prime Minister is to end rough sleeping in this country.

Back Andy’s plan to build a country where everyone has the security of a roof over their head and a chance to get back on their feet.",https://www.facebook.com/ads/library/?id=2278747925994894
The Labour Party,Labour,2026-07-21,2026-07-22,50,5500,"facebook, instagram","Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you. Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you. Andy Burnham wants to do things differently: problem-solving, not point-scoring; long-term, not short-term; power taken out of Westminster and put into the hands of people and places.

If you agree, add your name and tell us what matters most to you.",https://www.facebook.com/ads/library/?id=3925401394432848
The Labour Party,Labour,2026-07-21,2026-07-22,50,550,"facebook, instagram","Andy Burnham’s first pledge as Prime Minister is to end rough sleeping in this country.

Back Andy’s plan to build a country where everyone has the security of a roof over their head and a chance to get back on their feet. Andy Burnham’s first pledge as Prime Minister is to end rough sleeping in this country.

Back Andy’s plan to build a country where everyone has the security of a roof over their head and a chance to get back on their feet.",https://www.facebook.com/ads/library/?id=2104257087162621
Reform UK,Reform UK,2026-07-21,2026-07-22,50,7500,"facebook, instagram","Andy Burnham has no mandate and yet Kemi Badenoch refuses to call for a General Election. 

The Tories are running scared of Reform.",https://www.facebook.com/ads/library/?id=916101504859500
Reform UK,Reform UK,2026-07-21,2026-07-22,50,6500,"facebook, instagram","Andy Burnham has no mandate and refuses to call a General Election.

Labour are running scared of Reform.",https://www.facebook.com/ads/library/?id=1355508916708110
Reform UK,Reform UK,2026-07-21,2026-07-22,50,6500,"facebook, instagram","Andy Burnham refuses to call a General Election and Kemi Badenoch agrees with him.

The Uniparty are running scared of Reform.",https://www.facebook.com/ads/library/?id=2081956733198930
The Reclaim Party,Reclaim,2026-07-21,still running,150,17500,"facebook, instagram",Laurence Fox  - the exception proving the rule,https://www.facebook.com/ads/library/?id=1326525386312978
Reform UK,Reform UK,2026-07-21,still running,50,12500,"facebook, instagram","Andy Burnham refuses to call a General Election and Kemi Badenoch agrees with him.

The Uniparty are running scared of Reform.",https://www.facebook.com/ads/library/?id=1605087280956605
Reform UK,Reform UK,2026-07-21,still running,50,22500,"facebook, instagram",Andy Burnham won't act to fix Britain. He has no mandate and we need a general election now.,https://www.facebook.com/ads/library/?id=1316031510285896
Reform UK,Reform UK,2026-07-21,still running,50,12500,"facebook, instagram","Andy Burnham has no mandate and refuses to call a General Election.

Labour are running scared of Reform.",https://www.facebook.com/ads/library/?id=1656504903145924
Reform UK,Reform UK,2026-07-21,still running,50,22500,"facebook, instagram",Andy Burnham won't act to fix Britain. He has no mandate and we need a general election now.,https://www.facebook.com/ads/library/?id=2464712223992032
Reform UK,Reform UK,2026-07-21,still running,50,17500,"facebook, instagram","If you support our call for a general election, sign our petition here.",https://www.facebook.com/ads/library/?id=821118040984596
Reform UK,Reform UK,2026-07-21,still running,50,22500,"facebook, instagram",Andy Burnham has become PM with almost no scrutiny or mandate from the British people. We need a general election now.,https://www.facebook.com/ads/library/?id=874025648743756
Reform UK,Reform UK,2026-07-21,still running,50,12500,"facebook, instagram","Andy Burnham has no mandate and yet Kemi Badenoch refuses to call for a General Election. 

The Tories are running scared of Reform.",https://www.facebook.com/ads/library/?id=1018686414195101
Reform UK,Reform UK,2026-07-21,still running,50,17500,"facebook, instagram",Andy Burnham has previously backed yet more tax rises. He has no mandate and we need a general election now.,https://www.facebook.com/ads/library/?id=2330049404398546
Reform UK,Reform UK,2026-07-21,still running,50,3500,"facebook, instagram","If you support our call for a general election, sign our petition here.",https://www.facebook.com/ads/library/?id=1704782560791088
Nigel Farage,Reform UK,2026-07-21,still running,50,9500,"facebook, instagram","Britain’s establishment is doing everything they can to stop a political revolution. 

Send them a message. Britain’s establishment is doing everything they can to stop a political revolution. 

Send them a message.",https://www.facebook.com/ads/library/?id=1762882244885842
Nigel Farage,Reform UK,2026-07-21,2026-07-21,50,50,"facebook, instagram","The choice in this by-election couldn't be clearer. It's me or the establishment.

Make your pick. The choice in this by-election couldn't be clearer. It's me or the establishment.

Make your pick.",https://www.facebook.com/ads/library/?id=3221804424673642
The Reclaim Party,Reclaim,2026-07-21,still running,250,27500,"facebook, instagram",Laurence Fox  - the exception proving the rule,https://www.facebook.com/ads/library/?id=4687994278100400
Reform UK,Reform UK,2026-07-21,2026-07-22,50,17500,"facebook, instagram",Andy Burnham won't act to fix Britain. He has no mandate and we need a general election now.,https://www.facebook.com/ads/library/?id=4466026323665922
Nigel Farage,Reform UK,2026-07-20,still running,2750,850000,"facebook, instagram","Britain’s establishment is doing everything they can to stop a political revolution. 

Send them a message. Britain’s establishment is doing everything they can to stop a political revolution. 

Send them a message.",https://www.facebook.com/ads/library/?id=2936199116779171
Nigel Farage,Reform UK,2026-07-19,2026-07-21,50,5500,"facebook, instagram","Britain’s establishment is doing everything they can to stop a political revolution. 

Send them a message.",https://www.facebook.com/ads/library/?id=2129772547569806
Reform UK,Reform UK,2026-07-19,2026-07-22,50,22500,"facebook, instagram","Reform UK will stop the small boats, close asylum hotels, and quit European courts to secure our borders.",https://www.facebook.com/ads/library/?id=1066110949415917
Reform UK,Reform UK,2026-07-19,2026-07-22,50,12500,"facebook, instagram",Reform UK councils have delivered the lowest average council tax rises in the country. ✅,https://www.facebook.com/ads/library/?id=1527618895837029
Reform UK,Reform UK,2026-07-19,2026-07-22,50,7500,"facebook, instagram","Reform UK will stop the small boats, close asylum hotels, and quit European courts to secure our borders.",https://www.facebook.com/ads/library/?id=1746034693243935
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1368151201932799
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1379623880771304
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=887224707784044
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=915614317494374
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=997854883245527
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=997873779745142
Reform UK,Reform UK,2026-07-19,still running,50,3500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1023844150401951
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1045675031191101
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1199824115632845
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1222577966660846
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1326987432845491
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1464959962328902
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=2119885655253749
Reform UK,Reform UK,2026-07-19,still running,50,3500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=2471918423277571
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=4387785284802384
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=858649480433490
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=930842463377086
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=974483778932969
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=976599792081574
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1004813485876443
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1023550783630198
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1032669696391350
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1042552261704337
Reform UK,Reform UK,2026-07-19,still running,50,2500,"facebook, instagram",Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported. Click here and sign our petition if you agree that illegal arrivals to the UK should be detained and deported.,https://www.facebook.com/ads/library/?id=1053149563931867
